dream_vals,login_vals,time_vals,gt_vals,earnings_vals,total_time,strats
0,1,60,1,32388.0,60,stocked
0,1,60,1,0.0,60,unstocked
0,1,60,2,35626.79999999322,60,stocked
0,1,60,2,0.0,60,unstocked
0,1,60,3,37246.2000000074,60,stocked
0,1,60,3,0.0,60,unstocked
0,1,360,1,32388.0,360,stocked
0,1,360,1,0.0,360,unstocked
0,1,360,2,35626.79999999322,360,stocked
0,1,360,2,218411.6,360,unstocked
0,1,360,3,265585.59999994567,360,stocked
0,1,360,3,0.0,360,unstocked
0,1,660,1,32388.0,660,stocked
0,1,660,1,0.0,660,unstocked
0,1,660,2,316373.1999997702,660,stocked
0,1,660,2,0.0,660,unstocked
0,1,660,3,53502.600000017985,660,stocked
0,1,660,3,0.0,660,unstocked
0,1,960,1,32388.0,960,stocked
0,1,960,1,0.0,960,unstocked
0,1,960,2,316456.799999772,960,stocked
0,1,960,2,280843.2,960,unstocked
0,1,960,3,412100.20000022824,960,stocked
0,1,960,3,0.0,960,unstocked
0,1,1260,1,32388.0,1260,stocked
0,1,1260,1,0.0,1260,unstocked
0,1,1260,2,35626.79999999322,1260,stocked
0,1,1260,2,140421.6,1260,unstocked
0,1,1260,3,265088.79999994213,1260,stocked
0,1,1260,3,0.0,1260,unstocked
0,1,1560,1,415028.0,1560,stocked
0,1,1560,1,0.0,1560,unstocked
0,1,1560,2,269218.400000021,1560,stocked
0,1,1560,2,0.0,1560,unstocked
0,1,1560,3,264964.59999994136,1560,stocked
0,1,1560,3,978627.0000000001,1560,unstocked
0,1,1860,1,230044.0,1860,stocked
0,1,1860,1,326212.0,1860,unstocked
0,1,1860,2,35626.79999999322,1860,stocked
0,1,1860,2,358833.2,1860,unstocked
0,1,1860,3,37246.2000000074,1860,stocked
0,1,1860,3,375143.8,1860,unstocked
0,1,2160,1,244156.0,2160,stocked
0,1,2160,1,0.0,2160,unstocked
0,1,2160,2,35626.79999999322,2160,stocked
0,1,2160,2,655234.7999999999,2160,unstocked
0,1,2160,3,492848.60000022326,2160,stocked
0,1,2160,3,521948.19999999995,2160,unstocked
0,1,2460,1,230512.0,2460,stocked
0,1,2460,1,397112.0,2460,unstocked
0,1,2460,2,253180.40000008242,2460,stocked
